Category,Application Name,Version,Cost Model (Free/Paid)
Development & Engineering,Anaconda-Navigator,2.6.3,
Development & Engineering,Cursor,1.2.4,
Development & Engineering,Docker,4.42.1,
Development & Engineering,iTerm,3.5.14,
Development & Engineering,python,N/A,
Development & Engineering,Visual Studio Code,1.102.0,
Cloud & Infrastructure,Backblaze,9.1.0.832,
Cloud & Infrastructure,Google Drive,98.0,
Cloud & Infrastructure,Tailscale,1.84.1,
Design & Media,Adobe Bridge 2025,15.0.4,
Design & Media,Adobe Lightroom,8.3.1,
Design & Media,Adobe Lightroom Classic,14.3.1,
Design & Media,Adobe Photoshop 2025,26.6.0,
Design & Media,Audible,4.48.1,
Design & Media,Battery 4,4.3.1,
Design & Media,Camera,5.3.8,
Design & Media,Color Picker,2.1.2,
Design & Media,Elgato Stream Deck,6.8.1,
Design & Media,Figma,1.0,
Design & Media,Final Cut Pro,11.1.1,
Design & Media,FM8,1.4.6+3,
Design & Media,GarageBand,10.4.12,
Design & Media,Guitar Rig 6,6.4.0,
Design & Media,Guitar Rig 7,7.0.2,
Design & Media,iMovie,10.4.3,
Design & Media,Kontakt,6.8.0 (R0),
Design & Media,Kontakt 7,7.10.7,
Design & Media,Kontakt 8,8.4.0,
Design & Media,Massive,1.7.0,
Design & Media,Muse Hub,2.1.3,
Design & Media,OBS,31.0.3,
Design & Media,Obsidian,1.4.14,
Design & Media,Reaktor 6,6.5.0,
Design & Media,Screaming Frog SEO Spider,21.2.0,
Design & Media,Spitfire Audio,3.4.13,
Design & Media,Spotify,1.2.67.560,
Design & Media,Xscope,1.0.15,
Productivity & Collaboration,Bitwarden,2025.6.1,
Productivity & Collaboration,Claude,,
Productivity & Collaboration,Dart,1.3.1,
Productivity & Collaboration,Fathom,1.40.0,
Productivity & Collaboration,Keynote,14.4,
Productivity & Collaboration,Messenger,512.0.0,
Productivity & Collaboration,Microsoft Excel,16.98,
Productivity & Collaboration,Microsoft OneNote,16.98.3,
Productivity & Collaboration,Microsoft Outlook,16.98.1,
Productivity & Collaboration,Microsoft Teams,25016.1904.3401.2239,
Productivity & Collaboration,Microsoft Word,16.98,
Productivity & Collaboration,Notion,4.15.3,
Productivity & Collaboration,Notion Calendar,1.130.0,
Productivity & Collaboration,Notion Mail,0.0.35,
Productivity & Collaboration,Numbers,14.4,
Productivity & Collaboration,Perplexity,2.250626.0,
Productivity & Collaboration,Slack,4.44.65,
Productivity & Collaboration,Voices,2.0.1,
Productivity & Collaboration,WhatsApp,25.18.85,
Productivity & Collaboration,Windsurf,1.10.7,
Productivity & Collaboration,Zoom,5.0.1 (4301.0407),
Web Browsers,Google Chrome,138.0.7204.101,
Web Browsers,Microsoft Edge,132.0.2957.127,
System & Utilities,Brother Scanner,2.11.0,
System & Utilities,CCleaner,2.10,
System & Utilities,CleanMyMac,5.1.1,
System & Utilities,Commander One,3.9,
System & Utilities,Dropover,5.0.4,
System & Utilities,iLok License Manager,"5.10.1 GM (b5284, 8eb337be)",
System & Utilities,iMazing,3.1.2,
System & Utilities,LocalScraper,0.0.0,
System & Utilities,MacWhisper,12.6,
System & Utilities,Vienna Assistant,1.1.312,
System & Utilities,Vienna Ensemble,7.1.118,
System & Utilities,Vienna Synchron Player,1.2.636,
System & Utilities,Windows App,11.1.9,
Other,Creative Cloud,6.6.0.611,
Other,Creative Cloud Desktop App,6.6.0.611,
Other,Kindle,7.36,
Other,Komplete Kontrol,3.5.0,
Other,Mapping Tonal Harmony Pro,9.3.0,
Other,OneDrive,25.110.0608,
Other,SINE Player,1.3.3,
